Latitude, Longitude, pointid
36.916, -40.632, 25
36.897, -40.632, 26
36.878, -40.632, 27
36.860, -40.632, 28
36.841, -40.632, 29
36.822, -40.632, 30
36.803, -40.632, 31
36.803, -40.632, 32
36.766, -40.633, 33
36.747, -40.633, 34
36.728, -40.633, 35
36.710, -40.633, 36
36.691, -40.633, 37
36.672, -40.633, 38
36.654, -40.633, 39
36.635, -40.634, 40
36.616, -40.634, 41
36.597, -40.634, 42
36.579, -40.634, 43
36.560, -40.634, 44
36.541, -40.634, 45
36.523, -40.635, 46
36.523, -40.635, 47
36.485, -40.635, 48
36.467, -40.635, 49
36.448, -40.635, 50
36.429, -40.636, 51
36.411, -40.636, 52
36.392, -40.636, 53
36.373, -40.636, 54
36.355, -40.637, 55
36.336, -40.637, 56
36.318, -40.637, 57
36.299, -40.637, 58
36.280, -40.638, 59
36.262, -40.638, 60
36.243, -40.638, 61
36.225, -40.639, 62
36.206, -40.639, 63
36.187, -40.639, 64
36.169, -40.640, 65
36.150, -40.640, 66
36.131, -40.640, 67
36.113, -40.640, 68
36.094, -40.641, 69
36.075, -40.641, 70
36.057, -40.641, 71
36.038, -40.642, 72
36.019, -40.642, 73
